station_id,lat,lon,ratio,start,end,total
3063.0,34.049198,-118.252831,1.3287671232876712,1021.0,1357.0,2378.0
3018.0,34.043732,-118.260139,1.0505226480836236,573.0,602.0,1175.0
3031.0,34.044701,-118.25244099999999,1.147000659195781,1516.0,1739.0,3255.0
4204.0,33.988419,-118.45163000000001,0.9550561797752809,444.0,424.0,868.0
4216.0,34.023392,-118.47963700000001,1.4170403587443947,222.0,315.0,537.0
4147.0,34.145247999999995,-118.15007,1.0775510204081633,244.0,263.0,507.0
4148.0,34.14967,-118.14511100000001,1.1130434782608696,114.0,127.0,241.0
3006.0,34.04554,-118.25666799999999,0.9943609022556391,1063.0,1057.0,2120.0
3047.0,34.039982,-118.266403,1.1866295264623956,717.0,851.0,1568.0
4165.0,34.14175,-118.14906299999998,1.2325581395348837,386.0,476.0,862.0
3051.0,34.045421999999995,-118.25351699999999,1.0869565217391304,574.0,624.0,1198.0
3022.0,34.04607,-118.233093,0.9975728155339806,1235.0,1232.0,2467.0
3082.0,34.04652,-118.23741100000001,1.2031144211238998,1476.0,1776.0,3252.0
3048.0,34.041691,-118.235352,1.028723404255319,939.0,966.0,1905.0
3054.0,34.039219,-118.236488,1.1789473684210525,474.0,559.0,1033.0
3030.0,34.051941,-118.24353,0.8696883852691218,1411.0,1227.0,2638.0
4155.0,34.147812,-118.132217,0.7717391304347826,183.0,141.0,324.0
4177.0,34.144981,-118.13826,1.0723270440251573,317.0,340.0,657.0
3074.0,34.04417,-118.261169,0.8237650200267023,748.0,616.0,1364.0
4160.0,34.133010999999996,-118.14856,1.3524229074889869,226.0,306.0,532.0
3049.0,34.056969,-118.253593,0.7152575315840622,1028.0,735.0,1763.0
3040.0,34.05357,-118.26635700000001,0.5374149659863946,440.0,236.0,676.0
3029.0,34.048851,-118.246422,0.7891891891891892,739.0,583.0,1322.0
3027.0,34.04998,-118.24716200000002,0.8380829015544041,771.0,646.0,1417.0
3035.0,34.048401,-118.260948,0.9771897810218978,1095.0,1070.0,2165.0
3067.0,34.045181,-118.25023700000001,0.927,999.0,926.0,1925.0
3078.0,34.064281,-118.238937,0.9931506849315068,291.0,289.0,580.0
3007.0,34.05048,-118.254593,0.7553816046966731,1021.0,771.0,1792.0
3055.0,34.044159,-118.251579,0.9029239766081871,854.0,771.0,1625.0
3045.0,34.028511,-118.25666799999999,1.5952380952380953,83.0,133.0,216.0
4214.0,33.99556,-118.48155200000001,0.8460217515741271,3493.0,2955.0,6448.0
3008.0,34.046611999999996,-118.26273300000001,1.0914127423822715,721.0,787.0,1508.0
3077.0,34.039871000000005,-118.25003799999999,1.1640625,255.0,297.0,552.0
3026.0,34.063179,-118.24588,0.7451820128479657,466.0,347.0,813.0
4207.0,34.000881,-118.46891000000001,0.8460076045627376,525.0,444.0,969.0
3005.0,34.0485,-118.25853700000002,1.1010813352139164,2126.0,2341.0,4467.0
3081.0,34.031890999999995,-118.250183,1.0218978102189782,273.0,279.0,552.0
3042.0,34.049301,-118.238808,1.306878306878307,1133.0,1481.0,2614.0
4149.0,34.13821,-118.147079,1.0955414012738853,156.0,171.0,327.0
3056.0,34.037459999999996,-118.265381,1.12,299.0,335.0,634.0
4162.0,34.147498999999996,-118.14801000000001,1.1028225806451613,495.0,546.0,1041.0
4181.0,34.146221000000004,-118.13526200000001,1.0752351097178683,318.0,342.0,660.0
3076.0,34.0406,-118.25383799999999,1.0242510699001426,700.0,717.0,1417.0
4176.0,34.137859000000006,-118.12241399999999,1.168141592920354,338.0,395.0,733.0
4174.0,34.165290999999996,-118.15097,0.7285714285714285,69.0,50.0,119.0
4153.0,34.156181,-118.16668700000001,1.042654028436019,421.0,439.0,860.0
3023.0,34.050911,-118.240967,1.2375249500998005,500.0,619.0,1119.0
4152.0,34.149712,-118.160172,0.558282208588957,162.0,90.0,252.0
4167.0,34.143822,-118.154099,1.1391304347826088,114.0,130.0,244.0
4170.0,34.160709000000004,-118.132401,0.6256983240223464,178.0,111.0,289.0
3052.0,34.051102,-118.26455700000001,0.5820256776034237,700.0,407.0,1107.0
3075.0,34.04211,-118.25618700000001,1.0666666666666667,779.0,831.0,1610.0
4144.0,34.142399,-118.13265200000001,0.8952380952380953,209.0,187.0,396.0
4154.0,34.15612,-118.151192,0.7886178861788617,122.0,96.0,218.0
4169.0,34.146961,-118.139839,0.8782051282051282,155.0,136.0,291.0
4146.0,34.147831,-118.14504199999999,0.9380530973451328,112.0,105.0,217.0
4215.0,34.014309000000004,-118.49134099999999,1.844836811128946,1868.0,3447.0,5315.0
4212.0,33.988129,-118.471741,0.7734806629834254,904.0,699.0,1603.0
4163.0,34.150471,-118.132019,0.7142857142857143,321.0,229.0,550.0
3058.0,34.035801,-118.23317,1.1580188679245282,423.0,490.0,913.0
4130.0,33.719260999999996,-118.28272199999999,0.9426229508196722,121.0,114.0,235.0
4142.0,34.144588,-118.14459199999999,0.9380530973451328,338.0,317.0,655.0
4150.0,34.154270000000004,-118.142151,0.7899543378995434,218.0,172.0,390.0
3062.0,34.047748999999996,-118.243172,1.1084142394822007,617.0,684.0,1301.0
3065.0,34.060558,-118.238327,1.100334448160535,298.0,328.0,626.0
3064.0,34.04681,-118.25698100000001,1.0458471760797343,1504.0,1573.0,3077.0
4131.0,33.738979,-118.27926599999999,1.1059602649006623,150.0,166.0,316.0
3025.0,34.03286,-118.268082,0.9936305732484076,156.0,155.0,311.0
3057.0,34.035678999999995,-118.27081299999999,1.123456790123457,161.0,181.0,342.0
3069.0,34.05088,-118.248253,1.1342554922701382,1228.0,1393.0,2621.0
4151.0,34.142361,-118.14151000000001,0.8655172413793103,289.0,250.0,539.0
4210.0,33.984341,-118.47155,0.8951807228915662,2489.0,2228.0,4717.0
4157.0,34.140999,-118.13208799999998,1.1507246376811595,344.0,396.0,740.0
3010.0,34.037048,-118.25486799999999,1.263157894736842,113.0,143.0,256.0
3046.0,34.053020000000004,-118.247948,1.3478260869565217,436.0,588.0,1024.0
3034.0,34.042061,-118.26338200000001,1.3129675810473815,801.0,1052.0,1853.0
4205.0,33.993771,-118.453667,0.72,274.0,197.0,471.0
4208.0,33.99868,-118.472977,0.7216828478964401,308.0,222.0,530.0
3068.0,34.0532,-118.25095400000001,0.21238300935925125,1388.0,294.0,1682.0
3038.0,34.046822,-118.248352,0.9219858156028369,1127.0,1039.0,2166.0
4180.0,34.137951,-118.128502,1.121405750798722,312.0,350.0,662.0
4134.0,33.74136,-118.27806899999999,0.6194690265486725,112.0,69.0,181.0
3032.0,34.049889,-118.255882,1.2438692098092643,733.0,912.0,1645.0
4211.0,33.984928000000004,-118.46996299999999,0.7731305449936628,788.0,609.0,1397.0
3037.0,34.034801,-118.231277,1.2348754448398576,280.0,346.0,626.0
4209.0,33.996239,-118.477448,0.9147826086956522,1149.0,1051.0,2200.0
4132.0,33.74913,-118.28018200000001,1.0084745762711864,117.0,118.0,235.0
3016.0,34.052898,-118.24156200000002,0.8619631901840491,325.0,280.0,605.0
4202.0,33.991161,-118.46829199999999,0.937984496124031,773.0,725.0,1498.0
3019.0,34.038609,-118.260857,1.1303501945525292,513.0,580.0,1093.0
4126.0,33.710978999999995,-118.284668,1.0225806451612902,309.0,316.0,625.0
4129.0,33.725819,-118.28051,1.032967032967033,90.0,93.0,183.0
3024.0,34.05772,-118.24897,0.2797427652733119,310.0,86.0,396.0
4220.0,34.074829,-118.258728,0.9825870646766169,401.0,394.0,795.0
3066.0,34.063389,-118.23616000000001,0.8526785714285714,671.0,572.0,1243.0
3033.0,34.040989,-118.255798,0.9857651245551602,280.0,276.0,556.0
4206.0,33.998340999999996,-118.46101399999999,0.8169014084507042,212.0,173.0,385.0
3014.0,34.05661,-118.23721299999998,1.125615763546798,1623.0,1827.0,3450.0
3011.0,34.041129999999995,-118.267982,1.202290076335878,523.0,629.0,1152.0
4158.0,34.13525,-118.13237,1.167785234899329,148.0,173.0,321.0
4156.0,34.14991,-118.13838999999999,0.9896373056994818,192.0,190.0,382.0
4227.0,34.030628,-118.269608,1.3529411764705883,16.0,22.0,38.0
3036.0,34.039188,-118.232529,1.2405797101449276,344.0,427.0,771.0
4213.0,33.995369000000004,-118.464798,0.9655172413793104,144.0,139.0,283.0
4136.0,33.771759,-118.27654299999999,0.8461538461538461,25.0,21.0,46.0
3080.0,34.034209999999995,-118.254593,1.1355932203389831,58.0,66.0,124.0
3079.0,34.05014,-118.23323799999999,0.9297297297297298,184.0,171.0,355.0
3028.0,34.058319,-118.246094,0.4139650872817955,400.0,165.0,565.0
3013.0,33.779819,-118.263023,0.9583333333333334,23.0,22.0,45.0
4127.0,33.74892,-118.27519199999999,0.95,39.0,37.0,76.0
4133.0,33.733521,-118.277786,1.2421875,127.0,158.0,285.0
4125.0,33.766659000000004,-118.261017,1.0,15.0,15.0,30.0
3020.0,34.031052,-118.26709,1.2238805970149254,133.0,163.0,296.0
4135.0,33.772301,-118.26804399999999,1.0,46.0,46.0,92.0
4159.0,34.145901,-118.11653899999999,0.9,269.0,242.0,511.0
4183.0,34.146069,-118.129181,0.8847736625514403,242.0,214.0,456.0
4138.0,34.145691,-118.14823899999999,0.9548611111111112,287.0,274.0,561.0
4166.0,34.145908,-118.12175,1.0506329113924051,157.0,165.0,322.0
4108.0,34.025890000000004,-118.238243,1.0,12.0,12.0,24.0
