time,start_station_id,utilization,start_lat,start_lon,rank
2016-q3,3030,2198,34.0519409,-118.24353,1
2016-q3,3069,2128,34.0508804,-118.24825,2
2016-q4,3005,1711,34.0485497,-118.25905,1
2016-q4,3082,1628,34.0465202,-118.23741,2
2017-q1,3082,1431,34.0465202,-118.23741,1
2017-q1,3069,1356,34.0508804,-118.24825,2
2017-q2,3005,2389,34.0485497,-118.25905,1
2017-q2,3082,2077,34.0465202,-118.23741,2
2017-q3,3005,2724,34.0485497,-118.25905,1
2017-q3,3064,2153,34.0468102,-118.25698,2
2017-q4,3005,2550,34.0485497,-118.25905,1
2017-q4,3064,1702,34.0468102,-118.25698,2
2018-q1,3005,2126,34.0485497,-118.25905,1
2018-q1,3014,1623,34.0566101,-118.23721,2
2018-q2,3005,2847,34.0485497,-118.25905,1
2018-q2,3030,2216,34.0519409,-118.24353,2
2018-q3,3005,3664,34.0485497,-118.25905,1
2018-q3,3030,2970,34.0519409,-118.24353,2
2018-q4,3005,3490,34.0485497,-118.25905,1
2018-q4,3030,3030,34.0519409,-118.24353,2
2019-q1,3005,2919,34.0485497,-118.25905,1
2019-q1,3030,2496,34.0519409,-118.24353,2